term,type_guess,definition,example_sentence,rationale,confidence
Human-Cyber-Physical-Systems,class,"A system that combines human, cyber, and physical elements to achieve human-automation symbiosis work systems.",The operator 4.0 works aided by machines and if needed by means of Human-Cyber-Physical-Systems.,"Term not found in the ontology, but it seems to be a new concept derived from the context.",0.8
advanced human-machine interaction technologies,class,Technologies that enable smart and skilled operators to work cooperatively with robots and machines.,The operator 4.0 works aided by advanced human-machine interaction technologies.,"Term not found in the ontology, but it seems to be a new concept derived from the context.",0.7
adaptive automation,class,Automation that adjusts its behavior based on the fatigue level of the worker monitored using real-time sensor data.,The support given from a collaborative robot to the human operator was adjusted on the basis of the fatigue level of the worker.,"Term not found in the ontology, but it seems to be a new concept derived from the context.",0.7
Sliding Work Sharing Mechanisms (SWS),class,A system that aims to find the ideal balance between human and machine activities depending on the respective situation,"'Sliding work sharing' is defined as an approach where the balance between human and machine activities varies during the operation, depending on the situational context, machine-based confidence levels and human interactions",Term derived from the text,0.9
Adjustable Autonomy,class,"A concept researched extensively in robotics and multi-agent systems that allows varying the level of autonomy during operation, depending on the respective situation","Sliding autonomy, also called 'adjustable autonomy', was researched extensively in the domains of robotics and (multi-)agent systems",Term mentioned in the text,0.9
Ten Levels of Automation,class,A suggested set of ten levels of automation for robots and AI systems,"A variety of potential levels of autonomy may be differentiated, e.g. considering the ten levels of automation suggested in",Term mentioned in the text,0.8
Pilot Specific SotA,class,A specific state-of-the-art related to a pilot program or project,## 4. Pilot Specific SotA review,"The term does not match any existing ontology classes, but it seems to be a concept that could potentially be represented as a class in the given ontology.",0.8
E-CO Flex machine,instance,A specific type of automated packaging equipment used in the scenario.,The E-CO Flex machine serves as the hardware asset that the AI4Work technologies will interact with.,Term not found in the ontology but appears multiple times in the text.,0.9
IMA E-CO Flex,instance,A specific type of automated packaging equipment used in the scenario.,The context of the described scenario involves an e-commerce packaging/boxing plant populated with several IMA E-CO Flex machines...,Term not found in the ontology but appears multiple times in the text.,0.9
IMA Data Room,instance,A proprietary cloud platform used to collect and share machine data.,Information available on the Data Room is aggregated and made available to users on a web portal...,Term not found in the ontology but appears multiple times in the text.,0.8
IMA Sentinel dashboard,instance,A web portal providing insights based on data collected from monitored machines.,"First-order analytics are also presented, providing some insights online productivity and issues that may affect its performance...",Term not found in the ontology but appears multiple times in the text.,0.8
A4Gate,instance,An industrial edge device used to collect machine data.,"Most IMA packaging solutions rely on an industrial edge device, called A4Gate...",Term not found in the ontology but appears multiple times in the text.,0.8
troubleshooting tool,instance,A software application designed to diagnose and solve issues in a machine.,"1. AI4WORK shall provide a troubleshooting tool that utilizes the IMA E-CO Flex machine’s current status and fault data, in conjunction with historical fault records and machine learning models, to accurately diagnose issues and recommend appropriate solutions.",Not found in ontology dictionary,0.9
IMA E-CO Flex,class,A specific type of machine.,"1. AI4WORK shall provide a troubleshooting tool that utilizes the IMA E-CO Flex machine’s current status and fault data, in conjunction with historical fault records and machine learning models, to accurately diagnose issues and recommend appropriate solutions.",Not found in ontology dictionary,0.9
AI4WORK,instance,A company or organization providing a troubleshooting tool for machines.,"1. AI4WORK shall provide a troubleshooting tool that utilizes the IMA E-CO Flex machine’s current status and fault data, in conjunction with historical fault records and machine learning models, to accurately diagnose issues and recommend appropriate solutions.",Not found in ontology dictionary,0.9
Sliding Work Sharing Management,class,A component that facilitates dynamic sharing of work between humans and AI/robots.,# AI4Work-D1.2 (2024) - AI4Work Concept,"Term not found in the ontology, but it is a specific concept mentioned in the text.",0.9
SWS situation,class,A specific work situation in the context of Sliding Work Sharing.,"In case of high uncertainty of the AI in an unusual situation, the decision may fall to the human (see Figure 14).","Term not found in the ontology, but it is a specific concept mentioned in the text.",0.8
Sliding Work Sharing (SWS),class,"A work-sharing approach where the balance between human and machine activities varies during the operation, depending on the situational context, machine-based confidence levels and human interactions.",The SWS Management component aims to take these different inputs into account when deciding about the appropriate degree of human involvement – and/or the degree of support to the human – depending on the respective work situation.,Term defined in the text but not found in the ontology,1.0
AI4Work approach,instance,The methodology used by the AI4Work project to address the challenges of Sliding Work Sharing.,"The AI4Work approach: the SWS Management will take several inputs from other components into account as basis for this decision, the most important being...",Term mentioned multiple times but not found in the ontology,0.9
work situation,class,A specific context or scenario in which work is being performed,The Context Awareness component extracts the contextual information about the current work situation,Not found in ontology but seems to be an important concept in the text,0.9
decision/action,class,An outcome or result of a process that requires a choice or action,The AI/robot suggests a decision/action based on the context information,Not found in ontology but seems to be an important concept in the text,0.9
pilot/use-case-specific rules,data_property,Rules defined for a specific pilot or use case that are used by the Sliding module,At runtime the “decision engine” applies these rules to the current input data ...,Not found in ontology but seems to be an important concept in the text,0.8
legacy system,class,An existing system that can adapt its behavior based on the decision/recommendation of the SWS Management component,"An existing (legacy) system, which can adapt its behaviour based on the decision/recommendation of the SWS Management component.",Not found in ontology but seems to be an important concept in the text,0.7
sliding autonomy,class,"A concept that refers to the ability of an AI system to dynamically adjust its level of control in a task, working collaboratively with humans.","Application of the concepts of “sliding autonomy” [28], [29], [30] and “sliding decision making” [31] to the domain of “work sharing between human and AI”.","The term is not found in the provided ontology, but it seems to be a key concept in the text.",0.9
sliding decision making,class,"A decision-making approach that allows an AI system to dynamically adjust its level of control in a task, working collaboratively with humans.","Application of the concepts of “sliding autonomy” [28], [29], [30] and “sliding decision making” [31] to the domain of “work sharing between human and AI”.","The term is not found in the provided ontology, but it seems to be a key concept in the text.",0.9
Evaluation Approach,class,"A method or set of methods used to assess the quality, performance, or effectiveness of a system or product.",## 5. Evaluation Approach and Laboratory Prototypes,No matching term found in the ontology dictionary.,0.9
Laboratory Prototypes,class,A preliminary version of a system or product that is tested and evaluated in a controlled environment.,## 5. Evaluation Approach and Laboratory Prototypes,No matching term found in the ontology dictionary.,0.9
Ontology,class,a set of concepts within a domain and the relationships between those concepts,ONTOLOGY,common term for the concept,1.0
OWL Class,class,a class in the OWL ontology language,http://www.w3.org/2002/07/owl#Class,mentioned as an ontology term,1.0
OWL Object Property,object_property,an object property in the OWL ontology language,http://www.w3.org/2002/07/owl#ObjectProperty,mentioned as an ontology term,1.0
OWL Datatype Property,data_property,a datatype property in the OWL ontology language,http://www.w3.org/2002/07/owl#DatatypeProperty,mentioned as an ontology term,1.0
Individual,instance,an instance in the OWL ontology language,http://www.w3.org/2002/07/owl#Individual,mentioned as an ontology term,1.0
QName,,"a string consisting of a local part and a namespace prefix, used to uniquely identify elements in XML namespaces",<qname or iri>,mentioned as an ontology term,0.9
IRI,,"Internationalized Resource Identifier, a string that can contain international characters and is used to identify resources on the web",<qname or iri>,mentioned as an ontology term,0.9
SWS,class,A system or component that dynamically decides about the degree of AI autonomy vs. the degree of human involvement.,"The aim of the laboratory prototype for the SWS Management component was to do early experiments regarding the core functionality of the SWS, i.e. the sliding module that shall dynamically decide about the degree of AI autonomy vs. the degree of human involvement.",Mentioned in the text but not found in the ontology dictionary.,0.9
sliding work sharing,class,A method or approach for dynamically deciding about the degree of AI autonomy vs. the degree of human involvement.,"The aim of the laboratory prototype for the SWS Management component was to do early experiments regarding the core functionality of the SWS, i.e. the sliding module that shall dynamically decide about the degree of AI autonomy vs. the degree of human involvement.",Mentioned in the text but not found in the ontology dictionary.,0.9
FCL,FunctionalComponent,A programming language or system for fuzzy logic.,FUZZIFY human_experience_level via FCL,It is a specific method mentioned in the text but not found in the ontology dictionary.,1.0
fuzzification,FunctionalComponent,The process of translating values into fuzzy sets.,After translating the input values via the membership functions (the so-called “fuzzification”),It is a specific method mentioned in the text but not found in the ontology dictionary.,1.0
de-fuzzification,FunctionalComponent,The process of converting a fuzzy output into a crisp value.,The application of all applicable fuzzy rules and the subsequent “de-fuzzification” results in a numerical value for the “suggested work sharing approach”,It is a specific method mentioned in the text but not found in the ontology dictionary.,1.0
suggested_work_sharing_approach,instance,The approach suggested by the fuzzy logic system for work sharing.,suggested_work_sharing_approach IS human_manually,It is a specific instance mentioned in the text but not found in the ontology dictionary.,1.0
E-CO Flex machine,instance,A specific type of automated packing equipment used in the e-commerce sector.,"When a fault occurs in an E-CO Flex machine that exceeds the expertise of the maintenance operator, a maintenance ticket is created.",The term appears multiple times in the text and seems to refer to a specific type of equipment.,0.9
MaintenanceTicket,class,A document created when a fault occurs in an automated packing machine that exceeds the expertise of the maintenance operator.,"When a fault occurs in an E-CO Flex machine that exceeds the expertise of the maintenance operator, a maintenance ticket is created.",The term appears multiple times in the text and seems to refer to a specific document or class.,0.8
OperatingManual,data_property,A collection of instructions for operating and maintaining automated packing equipment.,"Operators, aiming to improve their skills in machine operations and maintenance, access a virtual assistant. This assistant uses natural language processing to extract information from operating manuals and offers step-by-step guidance tailored to the operator’s skill level.",The term appears multiple times in the text and seems to refer to a specific type of data or document.,0.8
Training system instance,class,A system designed to train operators on the use of complex machinery.,The Training system incorporates the following technologies to achieve its goals:,No matching term found in the ontology dictionary.,0.7
Data Collection and Handling for AI/Robotics Services,object_property|data_property,The process of collecting and managing data related to AI and robotics services.,The Training system incorporates the following technologies to achieve its goals:,No matching term found in the ontology dictionary.,0.7
Pilot-Specific Digital Twin,instance,A virtual representation of a specific manufacturing pilot for training purposes.,The Training system incorporates the following technologies to achieve its goals:,No matching term found in the ontology dictionary.,0.7
Context Awareness,object_property|data_property,"The ability of a system to be aware of and adapt to the current context, such as operator skill level and machine state.",The Training system incorporates the following technologies to achieve its goals:,No matching term found in the ontology dictionary.,0.7
Sliding Work Sharing,object_property|data_property,A dynamic work distribution method that balances human learning efforts with automated guidance.,The Training system incorporates the following technologies to achieve its goals:,No matching term found in the ontology dictionary.,0.7
Natural Language Processing,object_property|data_property,"The ability of a system to understand and generate human language, facilitating intuitive interactions.",The Training system incorporates the following technologies to achieve its goals:,No matching term found in the ontology dictionary.,0.7
Machine HMI,instance,A hardware/software component that enables humans to interact with the primary functions of a packaging machine.,This integrated approach ensures that operators can quickly gain the expertise needed to operate complex machinery effectively while minimizing errors during training.,No matching term found in the ontology dictionary.,0.7
Activity Scheduling system,instance,"A system that plans and optimizes resource utilization for manufacturing activities, considering human expertise and availability.",The Activity Scheduling system employs the following technologies:,No matching term found in the ontology dictionary.,0.7
Human-Centred Digital Twins,instance,Virtual representations of production scenarios including human operators for testing and refining schedules.,The Activity Scheduling system employs the following technologies:,No matching term found in the ontology dictionary.,0.7
Human-Aware Task Planning,object_property|data_property,A method of planning workflows that considers human expertise and availability.,The Activity Scheduling system employs the following technologies:,No matching term found in the ontology dictionary.,0.7
E-CO Flex machine,class,A type of packaging machine used in the AI4Work project.,"The Early Prototype aims to schedule the replenishment of a packaging line, which includes one E-CO Flex machine, N packaging operators (with N ≥ 2) and one replenishment operator.",Term appears in the text but no matching term exists in the ontology.,0.9
packaging bays,instance,Areas within a packaging line where boxes are dispatched based on a threshold-based rule.,The Early Prototype aims to simulate a single line with N packaging bays and one E-CO Flex machine.,Term appears in the text but no matching term exists in the ontology.,0.8
N packaging operators,class,A group of operators working within a packaging line in the AI4Work project.,"The Early Prototype aims to schedule the replenishment of a packaging line, which includes one E-CO Flex machine, N packaging operators (with N ≥ 2) and one replenishment operator.",Term appears in the text but no matching term exists in the ontology.,0.8
