span,sentence,concept_kind,ontology_term,confidence,span_norm,match_meta,matched_qname,matched_kind
sliding decision making,"Application of the concepts of “sliding autonomy” [28], [29], [30] and “sliding decision making” [31] to the domain of “work sharing between human and AI”.",class,esco:Skill,0.5,sliding decision making,"{'qname': 'esco:Skill', 'kind': 'class'}",esco:Skill,class
Context Awareness component,Inputs to the SWS Management will be: ... Current context information about the work situation from the Context Awareness component,instance,esco:Component,0.9,context awareness component,"{'qname': ':Context', 'kind': 'class'}",:Context,class
Context Awareness component,"Trigger messages about events that require a “sliding decision” (such triggers may come from the Context Awareness component, from an external system or from the end user)",instance,esco:Component,0.9,context awareness component,"{'qname': ':Context', 'kind': 'class'}",:Context,class
AI,# AI4Work-D5.1 (2025) - Pilots plan - Initial Version,class,:AI,1.0,ai,"{'qname': ':AIAcceptance', 'kind': 'class'}",:AIAcceptance,class
machine operators,"Recruitment poses challenges due to a shortage of specialized workers and the monotonous nature of many machine-related tasks, leading to high turnover rates, limited employee expertise, and unclear role definitions.",class,:HumanActor,0.9,machine operators,"{'qname': ':HumanActor', 'kind': 'class'}",:HumanActor,class
line supervisors,"Recruitment poses challenges due to a shortage of specialized workers and the monotonous nature of many machine-related tasks, leading to high turnover rates, limited employee expertise, and unclear role definitions.",class,:HumanActor,0.8,line supervisors,"{'qname': ':HumanActor', 'kind': 'class'}",:HumanActor,class
production managers,"Yet, the shift to advanced automated equipment introduces a new set of challenges compared to traditional manufacturing.",class,:HumanActor,0.9,production managers,"{'qname': ':HumanActor', 'kind': 'class'}",:HumanActor,class
maintenance operator,"When a fault occurs in an E-CO Flex machine that exceeds the expertise of the maintenance operator, a maintenance ticket is created.",class,:HumanActor,0.9,maintenance operator,"{'qname': ':HumanActor', 'kind': 'class'}",:HumanActor,class
sensor readings,"The Digital Assistant analyses these inputs, combines them with historical fault data, and recommends optimal troubleshooting steps.",data_property,:SensorReadings,0.8,sensor readings,"{'qname': 'sosa1:Sensor', 'kind': 'class'}",sosa1:Sensor,class
digital twin,"A digital twin should simulate machine behaviour, enabling fault association with operating conditions.",object_property,:simulatesMachineBehaviour,0.9,digital twin,"{'qname': ':DigitalTwin', 'kind': 'class'}",:DigitalTwin,class
context awareness,Context Awareness adapts troubleshooting recommendations based on the machine's current operating context and historical data.,object_property,:hasContextAwareness,0.8,context awareness,"{'qname': ':Context', 'kind': 'class'}",:Context,class
Context Awareness,The Training system incorporates the following technologies to achieve its goals:,instance,,0.3,context awareness,"{'qname': ':Context', 'kind': 'class'}",:Context,class
Human-Aware Task Planning,The Activity Scheduling system employs the following technologies:,instance,,0.3,human-aware task planning,"{'qname': ':Task', 'kind': 'class'}",:Task,class
Context Awareness,The Activity Scheduling system employs the following technologies:,instance,,0.3,context awareness,"{'qname': ':Context', 'kind': 'class'}",:Context,class
operational efficiency,"By leveraging these technologies in tandem, the project enhances operational efficiency, supports workforce adaptability, and enables seamless collaboration between humans and intelligent systems.",instance,http://example.com/OperationalEfficiency,0.9,operational efficiency,"{'qname': ':Operational', 'kind': 'class'}",:Operational,class
