span,sentence,concept_kind,ontology_term,confidence,has_actorRole,span_norm,match_meta,matched_qname,matched_kind
human-robot collaboration,Another scope for the application of HDT is the improvement of human-robot collaboration in an industrial environment.,class,http://www.w3.org/ns/digitaltwin#DigitalTwin,0.8,,human-robot collaboration,"{'qname': ':DigitalTwin', 'kind': 'class'}",:DigitalTwin,class
AI/robot,# AI4Work-D1.2 (2024) - AI4Work Concept,NonHumanActor,http://example.org/ontology#NonHumanActor,0.9,,ai/robot,"{'qname': ':HumanActor', 'kind': 'class'}",:HumanActor,class
human,"Depending on the respective work situation, the SWS Management shall decide about the required degree of involvement of the human, considering the current level of uncertainty of the AI/robot.",HumanActor,http://example.org/ontology#HumanActor,0.9,,human,"{'qname': ':Actor', 'kind': 'class'}",:Actor,class
robot,"Depending on the respective work situation, the SWS Management shall decide about the required degree of involvement of the human, considering the current level of uncertainty of the AI/robot.",NonHumanActor,http://example.org/ontology#NonHumanActor,0.8,,robot,"{'qname': ':HumanActor', 'kind': 'class'}",:HumanActor,class
current level of uncertainty,"Depending on the respective work situation, the SWS Management shall decide about the required degree of involvement of the human, considering the current level of uncertainty of the AI/robot.",DataProperty,http://example.org/ontology#hasConfidence,0.7,,current level of uncertainty,"{'qname': ':hasConfidence', 'kind': 'data_property'}",:hasConfidence,data_property
work situation,"Depending on the respective work situation, the SWS Management shall decide about the required degree of involvement of the human, considering the current level of uncertainty of the AI/robot.",class,http://example.org/ontology#Context,0.7,,work situation,"{'qname': ':Context', 'kind': 'class'}",:Context,class
degree of involvement,The SWS Management component aims to facilitate dynamic sharing of work between humans and AI/robots.,DataProperty,http://example.org/ontology#hasActorRole,0.7,,degree of involvement,"{'qname': ':hasActorRole', 'kind': 'data_property'}",:hasActorRole,data_property
AI/robot,The “slider” is not limited to the aforementioned situations but may move on the whole scale between “full human control” and “fully autonomous AI/robot”.,NonHumanActor,http://ai4work.eu/ontologies/AI4Work#NonHumanActor,0.8,,ai/robot,"{'qname': ':HumanActor', 'kind': 'class'}",:HumanActor,class
human operator(s),"The uncertainty estimation regarding the AI/robot, The experience/skills and availability of human operator(s)",HumanActor,http://ai4work.eu/ontologies/AI4Work#HumanActor,0.7,,human operator(s),"{'qname': ':HumanActor', 'kind': 'class'}",:HumanActor,class
context information about the current work situation,"Make the decision about the degree of human involvement vs. the autonomy of the AI/robot, Make the decision about the need for re-planning/re-scheduling in case of an unexpected situation at “plan execution time”",Context,http://ai4work.eu/ontologies/AI4Work#Context,0.9,,context information about the current work situation,"{'qname': ':Context', 'kind': 'class'}",:Context,class
Digital Twin,"The workflow may be initiated by a human, a robot, some AI4Work technology (e.g. a Digital Twin that monitors the processes, ...)",class,DigitalTwin,1.0,,digital twin,"{'qname': ':DigitalTwin', 'kind': 'class'}",:DigitalTwin,class
Context Awareness,The Context Awareness component extracts the contextual information about the current work situation,class,:ContextAwareness,0.8,,context awareness,"{'qname': ':Context', 'kind': 'class'}",:Context,class
AI/robot,The AI/robot suggests a decision/action based on the context information,class,:NonHumanActor,0.7,,ai/robot,"{'qname': ':NonHumanActor', 'kind': 'class'}",:NonHumanActor,class
Training system,The Training system incorporates the following technologies to achieve its goals:,class,esco:Skill,0.6,,training system,"{'qname': 'esco:Skill', 'kind': 'class'}",esco:Skill,class
Data Collection and Handling for AI/Robotics Services,The Training system incorporates the following technologies to achieve its goals:,class,:ContinuantResource,0.7,,data collection and handling for ai/robotics services,"{'qname': ':ContinuantResource', 'kind': 'class'}",:ContinuantResource,class
Pilot-Specific Digital Twin,The Training system incorporates the following technologies to achieve its goals:,class,DigitalTwin,0.8,,pilot-specific digital twin,"{'qname': ':DigitalTwin', 'kind': 'class'}",:DigitalTwin,class
Context Awareness,The Training system incorporates the following technologies to achieve its goals:,class,:Context,0.9,,context awareness,"{'qname': ':Context', 'kind': 'class'}",:Context,class
Sliding Work Sharing,The Training system incorporates the following technologies to achieve its goals:,class,:RoutingFlexibility,0.8,,sliding work sharing,"{'qname': ':RoutingFlexibility', 'kind': 'class'}",:RoutingFlexibility,class
Natural Language Processing,The Training system incorporates the following technologies to achieve its goals:,class,:Interpretability,0.7,,natural language processing,"{'qname': ':Interpretability', 'kind': 'class'}",:Interpretability,class
Machine HMI,This integrated approach ensures that operators can quickly gain the expertise needed to operate complex machinery effectively while minimizing errors during training.,class,:HumanActor,0.6,,machine hmi,"{'qname': ':HumanActor', 'kind': 'class'}",:HumanActor,class
Activity Scheduling system,The Activity Scheduling system employs the following technologies:,class,:Schedule,0.7,,activity scheduling system,"{'qname': ':Schedule', 'kind': 'class'}",:Schedule,class
Data Collection and Handling for AI/Robotics Services,The Activity Scheduling system employs the following technologies:,class,:ContinuantResource,0.8,,data collection and handling for ai/robotics services,"{'qname': ':ContinuantResource', 'kind': 'class'}",:ContinuantResource,class
Human-Centred Digital Twins,The Activity Scheduling system employs the following technologies:,class,:DigitalTwin,0.9,,human-centred digital twins,"{'qname': ':DigitalTwin', 'kind': 'class'}",:DigitalTwin,class
Human-Aware Task Planning,The Activity Scheduling system employs the following technologies:,class,:TaskVariety,0.7,,human-aware task planning,"{'qname': ':TaskVariety', 'kind': 'class'}",:TaskVariety,class
Context Awareness,The Activity Scheduling system employs the following technologies:,class,:Context,0.9,,context awareness,"{'qname': ':Context', 'kind': 'class'}",:Context,class
Sliding Work Sharing,The Activity Scheduling system employs the following technologies:,class,:RoutingFlexibility,0.8,,sliding work sharing,"{'qname': ':RoutingFlexibility', 'kind': 'class'}",:RoutingFlexibility,class
operational efficiency,"By leveraging these technologies in tandem, the project enhances operational efficiency, supports workforce adaptability, and enables seamless collaboration between humans and intelligent systems.",instance,http://example.com/OperationalEfficiency,0.8,,operational efficiency,"{'qname': ':Operational', 'kind': 'class'}",:Operational,class
technical issues,This specific training process will enable the system to gain an in-depth understanding of at least 50 technical issues and applicable solutions to restore the plant operational efficiency.,instance,http://example.com/TechnicalIssues,0.7,,technical issues,"{'qname': ':Technical', 'kind': 'class'}",:Technical,class
plant operational efficiency,The specific AI will store the actions performed by the operator that led to the actual resolution of the problem through a semantic representation.,instance,http://example.com/PlantOperationalEfficiency,0.7,,plant operational efficiency,"{'qname': ':Operational', 'kind': 'class'}",:Operational,class
