span,sentence,concept_kind,ontology_term,confidence,chunk_id,span_norm,match_meta,matched_qname,matched_kind,hg_score,hg_accept
Context Awareness component,Inputs to the SWS Management will be: ... Current context information about the work situation from the Context Awareness component,instance,esco:Context,0.9,15,context awareness component,"{'qname': ':Context', 'kind': 'class'}",:Context,class,0.9,True
Runtime Monitoring for Trustworthy AI,Inputs to the SWS Management will be: ... Uncertainty estimation from the Runtime Monitoring for Trustworthy AI,instance,:ConfidenceAssessment,0.8,15,runtime monitoring for trustworthy ai,"{'qname': ':ConfidenceAssessment', 'kind': 'class'}",:ConfidenceAssessment,class,0.8,True
Human-centric Digital Twin,Inputs to the SWS Management will be: ... Data about the experience/skills of the human (from the Human-centric Digital Twin),instance,:DigitalTwin,0.9,15,human-centric digital twin,"{'qname': ':DigitalTwin', 'kind': 'class'}",:DigitalTwin,class,0.9,True
Human-aware Task Planner and Long-term Adaptation components,Inputs to the SWS Management will be: ... Plans from the Human-aware Task Planner and Long-term Adaptation components,instance,:Task,0.8,15,human-aware task planner and long-term adaptation components,"{'qname': ':Task', 'kind': 'class'}",:Task,class,0.8500000000000001,True
Human-aware Task Planner,Outputs will be: ... Trigger Human-aware Task Planner or Long-term Adaptation components to recalculate their plan or validate a plan.,instance,:TaskPlanner,0.8,15,human-aware task planner,"{'qname': ':Task', 'kind': 'class'}",:Task,class,0.8500000000000001,True
ai confidence level,"An experimental example is visualised in Figure 39, where the values of the two variables “ai confidence level” and “human experience level” are used as input to calculate the “suggested work sharing approach”.",data_property,:hasConfidence,1.0,18,ai confidence level,"{'qname': ':hasConfidence', 'kind': 'data_property'}",:hasConfidence,data_property,1.0,True
FCL,"FUZZIFY human_experience_level TERM low := (0, 1) (2, 1) (4,0);",object_property,:hasPerformanceDimension,0.9,19,fcl,"{'qname': ':hasPerformanceDimension', 'kind': 'object_property'}",:hasPerformanceDimension,object_property,0.9,True
ai_confidence,IF ai_confidence IS low THEN suggested_work_sharing_approach IS human_manually;,instance,,0.9,19,ai_confidence,"{'qname': ':ConfidenceAssessment', 'kind': 'class'}",:ConfidenceAssessment,class,0.9480000000000001,True
Pilot-Specific Digital Twin,The Training system incorporates the following technologies to achieve its goals:,class|object_property|data_property|instance,:DigitalTwin,0.9,21,pilot-specific digital twin,"{'qname': ':DigitalTwin', 'kind': 'class'}",:DigitalTwin,class,0.9,True
Context Awareness,The Training system incorporates the following technologies to achieve its goals:,class|object_property|data_property|instance,:ContextAwareness,0.9,21,context awareness,"{'qname': ':Context', 'kind': 'class'}",:Context,class,0.9500000000000001,True
Human-Aware Task Planning,The Activity Scheduling system employs the following technologies:,class|object_property|data_property|instance,:HumanAwareTaskPlanning,0.9,21,human-aware task planning,"{'qname': ':Task', 'kind': 'class'}",:Task,class,0.9,True
Context Awareness,The Activity Scheduling system employs the following technologies:,class|object_property|data_property|instance,:ContextAwareness,0.9,21,context awareness,"{'qname': ':Context', 'kind': 'class'}",:Context,class,0.9500000000000001,True
operational efficiency,"By leveraging these technologies in tandem, the project enhances operational efficiency, supports workforce adaptability, and enables seamless collaboration between humans and intelligent systems.",instance,:OperationalEfficiency,0.8,22,operational efficiency,"{'qname': ':Operational', 'kind': 'class'}",:Operational,class,0.8,True
digital twins,"The iterative process leverages key mechanisms, such as digital twins and context-aware systems, to simulate and anticipate the impact of changes before implementation.",class,:DigitalTwins,1.0,22,digital twins,"{'qname': ':DigitalTwin', 'kind': 'class'}",:DigitalTwin,class,1.0,True
context-aware systems,"The iterative process leverages key mechanisms, such as digital twins and context-aware systems, to simulate and anticipate the impact of changes before implementation.",class,:ContextAwareSystems,1.0,22,context-aware systems,"{'qname': ':Context', 'kind': 'class'}",:Context,class,1.0,True
