term,type_guess,definition,example_sentence,rationale,confidence
A4Gate,instance,An industrial edge device used to collect machine data and share them with a proprietary cloud platform.,"Most IMA packaging solutions rely on an industrial edge device, called A4Gate...",Not found in the ontology but mentioned in the text.,0.8
IMA Sentinel dashboard,instance,A web portal that presents information available on the IMA Data Room.,"Information available on the Data Room is aggregated and made available to users on a web portal, the IMA Sentinel dashboard...",Not found in the ontology but mentioned in the text.,0.8
Troubleshooting Tool,class,A system that suggests solutions based on current faults and historical data.,Provide a troubleshooting tool able to suggest solutions based on current faults and historical data,Mentioned in the text but not found in the ontology dictionary.,0.9
AI Interpretation,object_property,The ability of AI to interpret failures/inefficiencies and formulate responses based on historical data.,AI interprets the failure and gives troubleshooting support.,Mentioned in the text but not found in the ontology dictionary.,0.8
Machine State,data_property,The current state of a machine as observed or recorded.,"An E-CO Flex machine encounters a fault beyond the expertise of the maintenance operator. The machine operator contacts maintenance assistance, opening a ticket that provides information about the current state of the machine and, eventually, other useful information like production data and sensor readings.",Mentioned in the text but not found in the ontology dictionary.,0.8
IMA E-CO Flex,class,A specific type of machine,"1. AI4WORK shall provide a troubleshooting tool that utilizes the IMA E-CO Flex machine’s current status and fault data, in conjunction with historical fault records and machine learning models, to accurately diagnose issues and recommend appropriate solutions.",Not found in ontology,0.9
troubleshooting tool,instance,A software application designed to diagnose and fix issues with the IMA E-CO Flex machine,"1. AI4WORK shall provide a troubleshooting tool that utilizes the IMA E-CO Flex machine’s current status and fault data, in conjunction with historical fault records and machine learning models, to accurately diagnose issues and recommend appropriate solutions.",Not found in ontology,0.9
AI4WORK solution,class,An intelligent system designed to schedule the production line under specific conditions.,"The AI4WORK solution is designed to intelligently schedule the production line under these conditions, ensuring a balanced workload between human operators and machines.",Term not found in the ontology but seems to represent an instance of a class.,0.9
inputted constraints,property,Restrictions on available resources provided by the user.,"The output plans shall consider constraints on available resources, such as the quantity of raw materials that are currently accessible for production, ensuring efficient and practical scheduling of the production line operations.",Term not found in the ontology but seems to represent a property of a class.,0.8
digital twin,instance,"A virtual representation of a physical entity or process, used for simulation and analysis.","The digital twin shall simulate production line scenarios, modelling the operation of the machines and assessing the capabilities of human operators involved in the processes.",Term not found in the ontology but seems to represent an instance of a class.,0.9
sliding work sharing,class,A method for dynamically adjusting the distribution of tasks between human operators and machines in real-time.,Technologies: Sliding Work Sharing.,Term not found in the ontology but seems to represent a class.,0.8
Sliding Work Sharing Management,class,A system that facilitates dynamic sharing of work between humans and AI/robots.,# AI4Work-D1.2 (2024) - AI4Work Concept,"Not explicitly mentioned in the ontology, but it is the main concept discussed in the text.",0.9
SWS situation,class,A specific work scenario involving humans and AI/robots under Sliding Work Sharing.,"In case of high uncertainty of the AI in an unusual situation, the decision may fall to the human (see Figure 14).","Not explicitly mentioned in the ontology, but it is a recurring concept in the text.",0.8
Sliding Work Sharing (SWS),class,"A work-sharing approach where the balance between human and machine activities varies during the operation, depending on the situational context, machine-based confidence levels and human interactions.",The SWS Management component aims to take these different inputs into account when deciding about the appropriate degree of human involvement – and/or the degree of support to the human – depending on the respective work situation.,Term is not found in the ontology but it's a central concept in the text.,1.0
plan’s validation,object_property,The process of checking the results of a plan to ensure its correctness and suitability for execution.,Make the decision about the need for re-planning/re-scheduling in case of an unexpected situation at “plan execution time”,Term is not found in the ontology but it's a key concept in the text.,0.9
one-size-fits-all,data_property,A solution that is designed to work for all users or situations without needing to be adapted.,"the SWS Management will not be one monolithic component with a “one-size-fits-all” approach, but will rather provide generic reusable framework elements",Term is not found in the ontology but it's a common phrase that seems to describe the approach of the SWS Management.,0.8
SWS Management component,class,A system that decides or recommends the degree of AI autonomy and/or support to a human in response to events/situations at plan execution time.,The SWS Management component then “decides” or “recommends” to what extent the AI/robot may work autonomously and if the actions/decision should be requested from (or checked/confirmed by) the human operator.,Not found in ontology dictionary,1.0
pilot/use-case-specific rules,data_property,Rules that must be defined in advance for the SWS Management component's decision engine.,At runtime the “decision engine” applies these rules to the current input data (which is received from other AI4Work components and pilot-specific AI components) in order to dynamically decide about the recommended degree of AI autonomy and/or support to the human in the current situation.,Not found in ontology dictionary,1.0
re-calculation of the work plan,object_property,The process of re-evaluating and adjusting the original work plan in response to major disruptions.,In such a case it will trigger other AI4Work components to do a re-planning.,Not found in ontology dictionary,1.0
Sliding Work Sharing,class,A system that decides about the degree of human involvement in a work situation based on AI uncertainty and user preferences.,"The SWS Management component shall decide about the degree of human involvement that is required in the respective work situation, depending on the uncertainty of the AI.",The term is not found in the provided ontology but it seems to be a new concept derived from the context.,0.9
sliding rules,object_property,Configurable rules that customize Sliding Work Sharing to different pilot use cases.,Shall: Support customization to different pilot use cases via configurable “sliding rules”.,The term is not found in the provided ontology but it seems to be a new concept derived from the context.,0.9
AI autonomy level,data_property,"The degree of automation or control that an AI system has, as determined by user preferences and/or company guidelines.","Shall: Take into account the user preferences and/or company guidelines regarding the AI autonomy level (e.g. some users may want to always double-check AI decisions, other users may trust the AI to work in automatic mode, some company may want to assure that there is always a human in the loop).",The term is not found in the provided ontology but it seems to be a new concept derived from the context.,0.9
workflow definitions,object_property,Configurable structures that outline the steps and interactions between components in a workflow.,May: Facilitate customization to different pilot use cases via “configurable workflow definitions”.,The term is not found in the provided ontology but it seems to be a new concept derived from the context.,0.8
Evaluation Approach,class,"A method or set of methods used to assess the performance, quality, or effectiveness of a system or product.",## 5. Evaluation Approach and Laboratory Prototypes,No matching term found in ontology dictionary.,0.9
Laboratory Prototypes,class,A preliminary version of a system or product that is tested and evaluated in a controlled environment.,## 5. Evaluation Approach and Laboratory Prototypes,No matching term found in ontology dictionary.,0.9
Formal Ontology Representation,class,A method or system for representing concepts and relationships in a formal ontology.,ONTOLOGY terms are used to represent concepts and relationships in a formal ontology.,The term is not explicitly mentioned but it can be inferred from the context.,1.0
SWS,class,A system or component that dynamically decides about the degree of AI autonomy vs. the degree of human involvement.,"The aim of the laboratory prototype for the SWS Management component was to do early experiments regarding the core functionality of the SWS, i.e. the sliding module that shall dynamically decide about the degree of AI autonomy vs. the degree of human involvement.",It is an acronym and appears in a context where it seems to represent a specific system or component.,0.9
sliding work sharing,instance,A method or approach for dynamically deciding about the degree of AI autonomy vs. the degree of human involvement.,"The aim of the laboratory prototype for the SWS Management component was to do early experiments regarding the core functionality of the SWS, i.e. the sliding module that shall dynamically decide about the degree of AI autonomy vs. the degree of human involvement.",It is a specific method or approach mentioned in the context.,0.9
SWS Management,class,A system or component that manages work sharing.,Figure 39: Visualization of the SWS Management Lab Prototype,Mentioned in the text and not found in the ontology.,1.0
fuzzy sets low/medium/high,class,A set of values with a degree of membership defined by a membership function.,"FUZZIFY human_experience_level TERM low := (0, 1) (2, 1) (4,0);",Terms used in the FCL definition and not found in the ontology.,1.0
fuzzy rules,object_property,A conditional statement that determines the output of a fuzzy system based on the input and membership functions.,IF ai_confidence IS low THEN suggested_work_sharing_approach IS human_manually;,Terms used in the text to describe the application of fuzzy logic and not found in the ontology.,1.0
de-fuzzification,object_property,"The process of converting the output of a fuzzy system, which is a set of membership degrees, into a single numerical value.",The application of all applicable fuzzy rules and the subsequent “de-fuzzification” results in a numerical value for the “suggested work sharing approach” (in this example it starts from “human doing the work manually” via “human in/on the loop” up to the “AI working autonomously”).,Term used in the text to describe the final step of a fuzzy system and not found in the ontology.,1.0
Training system,class,A system designed for training operators on complex machinery.,The Training system incorporates the following technologies to achieve its goals:,"Not found in ontology, but a key concept in the text chunk.",0.9
operator manuals,instance,Documents providing instructions for operating machinery.,Data Collection and Handling for AI/Robotics Services centralizes training data from operator manuals and real-time machine usage to create adaptive training modules.,"Not found in ontology, but a specific instance mentioned in the text chunk.",0.8
real-time machine usage,instance,Data collected from machines during their operation.,Data Collection and Handling for AI/Robotics Services centralizes training data from operator manuals and real-time machine usage to create adaptive training modules.,"Not found in ontology, but a specific instance mentioned in the text chunk.",0.8
procedures,instance,A series of steps to be followed in order to complete a task or activity.,Pilot-Specific Digital Twin provides virtual environments where operators can practice procedures and interact with simulated machines.,"Not found in ontology, but a specific instance mentioned in the text chunk.",0.8
simulated machines,instance,Digital representations of physical machinery used for training or testing purposes.,Pilot-Specific Digital Twin provides virtual environments where operators can practice procedures and interact with simulated machines.,"Not found in ontology, but a specific instance mentioned in the text chunk.",0.8
line managers,instance,Managers responsible for overseeing production lines.,"Through this integration, the system enables line managers to optimize resource utilization and maintain high productivity while responding dynamically to operational challenges.","Not found in ontology, but a specific instance mentioned in the text chunk.",0.8
production demands,instance,The requirements for producing goods or services.,"Data Collection and Handling for AI/Robotics Services gathers data on resource availability, production demands, and operational constraints.","Not found in ontology, but a specific instance mentioned in the text chunk.",0.8
operational constraints,instance,Restrictions or limitations on the operation of machinery or systems.,"Data Collection and Handling for AI/Robotics Services gathers data on resource availability, production demands, and operational constraints.","Not found in ontology, but a specific instance mentioned in the text chunk.",0.8
E-CO Flex,instance,A specific type of machine used in the e-commerce packaging operations.,"The Early Prototype aims to schedule the replenishment of a packaging line, which includes one E-CO Flex machine, N packaging operators (with N ≥ 2) and one replenishment operator.",Term appears in the text but does not have an exact match in the ontology.,0.9
N,data_property,A variable representing the number of packaging operators or packaging bays.,"The Early Prototype aims to schedule the replenishment of a packaging line, which includes one E-CO Flex machine, N packaging operators (with N ≥ 2) and one replenishment operator.",Term appears in the text as a variable and does not have an exact match in the ontology.,0.8
